date,cases(t+14),confirmed,calls(t),complaint(t),Awareness,Larviciding,Fogging,irs,Ovi_Trap,Dewatering,Tyres,water_leakage,Debris,FishSeed,Adult_Mosquitoes,irs_patient,cluster
06/01/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/02/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/03/2013,0,0,0,0,0,8,0,0,0,0,21,0,0,0,0,0,1
06/04/2013,0,0,0,0,3,3,0,0,0,2,27,0,0,0,0,0,1
06/05/2013,0,0,0,0,3,9,0,1,0,2,4,0,0,1,0,0,1
06/06/2013,0,0,0,0,0,3,0,0,0,1,6,0,0,0,0,0,1
06/07/2013,0,0,0,0,0,6,0,0,0,6,8,0,0,0,0,0,1
06/08/2013,0,0,0,0,3,11,0,0,0,6,1,0,0,0,0,0,1
06/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/10/2013,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
06/11/2013,0,0,0,0,1,11,0,0,0,3,1,0,0,0,0,0,1
06/12/2013,0,0,0,0,0,1,0,0,0,5,2,0,0,2,0,0,1
06/13/2013,0,0,0,0,0,0,0,0,0,13,18,0,0,0,0,0,1
06/14/2013,0,0,0,0,2,2,0,0,0,11,7,0,0,0,0,0,1
06/15/2013,0,0,0,0,2,1,0,0,0,7,0,0,0,0,0,0,1
06/16/2013,0,0,0,0,0,10,0,1,0,20,3,0,0,0,0,0,1
06/17/2013,0,0,0,0,1,8,0,7,0,23,2,0,0,3,0,0,1
06/18/2013,0,0,0,0,1,22,0,0,1,18,4,0,0,0,0,0,1
06/19/2013,0,0,0,0,5,16,0,6,0,9,4,0,0,4,0,0,1
06/20/2013,0,0,0,0,4,11,0,0,2,4,15,0,0,1,0,0,1
06/21/2013,0,0,0,0,1,11,0,2,0,2,2,0,0,0,0,0,1
06/22/2013,0,0,0,0,2,5,0,4,0,3,1,0,0,0,0,0,1
06/23/2013,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1
06/24/2013,0,0,0,0,1,6,0,16,1,8,3,0,0,3,0,0,1
06/25/2013,0,1,0,0,0,8,1,3,0,2,0,0,0,2,0,0,1
06/26/2013,0,1,0,0,0,6,0,1,2,6,2,0,0,0,0,0,1
06/27/2013,0,0,0,0,0,16,0,4,0,1,0,0,0,0,0,0,1
06/28/2013,0,0,0,0,2,17,0,2,0,5,20,0,0,0,0,0,1
06/29/2013,0,1,0,0,5,4,0,5,0,0,6,0,0,0,0,0,1
06/30/2013,0,0,0,0,0,1,0,2,0,7,1,0,0,0,0,0,1
07/01/2013,0,0,0,0,5,3,0,0,0,1,14,0,0,0,0,0,1
07/02/2013,0,0,0,0,8,6,0,2,0,5,7,0,0,0,0,0,1
07/03/2013,0,0,0,0,2,0,0,0,2,8,31,0,0,0,0,0,1
07/04/2013,0,0,0,0,1,0,0,1,0,0,20,0,0,0,0,0,1
07/05/2013,0,0,0,0,0,2,0,1,1,3,13,0,0,0,0,0,1
07/06/2013,0,0,0,0,0,4,0,1,0,6,1,0,0,0,0,0,1
07/07/2013,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,1
07/08/2013,0,0,0,0,0,12,0,4,0,23,3,0,0,0,0,0,1
07/09/2013,0,0,0,0,5,10,0,1,1,1,13,0,0,0,0,0,1
07/10/2013,0,0,0,0,8,20,0,6,2,10,16,0,0,0,0,0,1
07/11/2013,0,0,0,0,5,4,0,2,0,16,5,0,0,0,0,0,1
07/12/2013,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1
07/13/2013,0,0,0,0,0,6,0,1,0,3,1,0,0,0,0,0,1
07/14/2013,0,0,0,0,3,3,0,3,0,2,0,0,0,0,0,0,1
07/15/2013,0,0,0,0,1,7,0,1,0,2,1,0,0,0,0,0,1
07/16/2013,0,0,0,0,2,12,0,7,0,3,2,0,0,0,0,0,1
07/17/2013,0,0,0,0,1,13,0,1,0,5,1,0,0,0,0,0,1
07/18/2013,0,0,0,0,0,14,0,2,0,3,0,0,0,0,0,0,1
07/19/2013,0,0,0,0,2,11,0,1,0,2,1,0,0,0,0,0,1
07/20/2013,0,0,0,0,0,11,0,3,0,10,2,0,0,0,0,0,1
07/21/2013,0,0,0,0,1,20,0,8,0,4,2,0,0,0,0,0,1
07/22/2013,0,0,0,0,1,18,0,0,0,2,1,0,0,0,0,0,1
07/23/2013,0,0,0,0,1,12,0,2,0,5,1,0,0,0,0,0,1
07/24/2013,0,0,0,0,2,31,0,0,2,1,8,0,0,0,0,0,1
07/25/2013,0,0,0,0,5,15,0,2,0,2,85,0,0,0,0,0,1
07/26/2013,0,0,0,0,1,26,0,3,1,5,3,0,0,0,0,0,1
07/27/2013,0,0,0,0,69,20,0,1,1,4,17,0,0,0,0,0,1
07/28/2013,0,0,0,0,3,12,0,4,0,3,7,0,0,0,0,0,1
07/29/2013,0,0,0,0,2,11,0,2,0,1,2,0,0,0,0,0,1
