date,cases(t+14),confirmed(t),calls(t),complaint(t),Awareness,Larviciding,Fogging,irs,Ovi_Trap,Dewatering,Tyres,water_leakage,Debris,FishSeed,Adult_Mosquitoes,irs_patient,cluster
06/01/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/02/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/03/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/04/2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
06/05/2013,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
06/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/07/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/08/2013,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1
06/09/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/10/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/11/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/12/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/13/2013,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,1
06/14/2013,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1
06/15/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/16/2013,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,1
06/17/2013,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1
06/18/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/19/2013,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
06/20/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/21/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/22/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/23/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/24/2013,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,1
06/25/2013,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1
06/26/2013,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
06/27/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/28/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/29/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/30/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
07/01/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
07/02/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
07/03/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
07/04/2013,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1
07/05/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
07/06/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
07/07/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
07/08/2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
07/09/2013,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,1
07/10/2013,0,0,0,0,1,5,0,0,1,1,4,0,0,0,0,0,1
07/11/2013,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
07/12/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
07/13/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
07/14/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
07/15/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
07/16/2013,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1
07/17/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
07/18/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
07/19/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
07/20/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
07/21/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
07/22/2013,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
07/23/2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
07/24/2013,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
07/25/2013,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
07/26/2013,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1
07/27/2013,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1
07/28/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
07/29/2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
