year,month,patients,Awareness,Larviciding,Fogging,Ovi_Trap,Dewatering,Tyres,Debris,FishSeed,irs,temp,rainfall,block
2015,1,0,0,0,0,0,0,0,0,0,0,11.046774195086572,19.100000001490116,1
2015,2,0,0,0,0,0,0,0,0,0,0,15.239285698958806,14.400000005960464,1
2015,3,0,0,0,0,0,0,0,0,0,0,19.103225846444406,157.40000076591969,1
2015,4,0,0,0,0,0,0,0,0,0,0,24.25166672070821,105.30000019073486,1
2015,5,0,0,0,0,0,0,0,0,0,0,26.17419353608162,3.3000000044703484,1
2015,6,0,0,0,0,0,0,0,0,0,0,30.68166659673055,76.70000002533197,1
2015,7,0,0,0,0,0,0,0,0,0,0,29.366666666666667,238.00000105053186,1
2015,8,0,0,0,0,0,0,0,0,0,0,30.75483872813563,123.60000019520521,1
2015,9,0,0,0,0,0,0,0,0,0,0,29.524999968210857,82.0,1
2015,10,0,0,0,0,0,0,3,0,0,0,24.269354743342245,5.200000002980232,1
2015,11,0,0,0,0,0,0,0,0,0,0,17.70166662534078,0.10000000149011612,1
2015,12,0,0,0,0,0,0,0,0,0,0,14.111904757363456,0.0,1
2015,1,0,0,0,0,0,0,0,0,0,0,11.046774195086572,19.100000001490116,2
2015,2,0,0,0,0,0,0,0,0,0,0,15.239285698958806,14.400000005960464,2
2015,3,0,0,0,0,0,0,0,0,0,0,19.103225846444406,157.40000076591969,2
2015,4,0,0,0,0,0,0,0,0,0,0,24.25166672070821,105.30000019073486,2
2015,5,0,0,0,0,0,0,0,0,0,0,26.17419353608162,3.3000000044703484,2
2015,6,0,0,0,0,0,0,0,0,0,0,30.68166659673055,76.70000002533197,2
2015,7,0,0,0,0,0,0,0,0,0,0,29.366666666666667,238.00000105053186,2
2015,8,0,0,0,0,0,0,0,0,0,0,30.75483872813563,123.60000019520521,2
2015,9,0,0,0,0,0,0,0,0,0,0,29.524999968210857,82.0,2
2015,10,0,0,0,0,0,0,0,0,0,0,24.269354743342245,5.200000002980232,2
2015,11,0,0,0,0,0,0,0,0,0,0,17.70166662534078,0.10000000149011612,2
2015,12,0,0,0,0,0,0,0,0,0,0,14.111904757363456,0.0,2
2015,1,0,0,0,0,0,0,0,0,0,0,11.046774195086572,19.100000001490116,3
2015,2,0,0,0,0,0,0,0,0,0,0,15.239285698958806,14.400000005960464,3
2015,3,0,0,0,0,0,0,0,0,0,0,19.103225846444406,157.40000076591969,3
2015,4,0,0,0,0,0,0,0,0,0,0,24.25166672070821,105.30000019073486,3
2015,5,0,0,0,0,0,0,0,0,0,0,26.17419353608162,3.3000000044703484,3
2015,6,0,0,0,0,0,0,0,0,0,0,30.68166659673055,76.70000002533197,3
2015,7,0,0,0,0,0,0,0,0,0,0,29.366666666666667,238.00000105053186,3
2015,8,0,0,0,0,0,0,0,0,0,0,30.75483872813563,123.60000019520521,3
2015,9,0,0,0,0,0,0,0,0,0,0,29.524999968210857,82.0,3
2015,10,0,0,0,0,0,0,0,0,0,0,24.269354743342245,5.200000002980232,3
2015,11,0,0,0,0,0,0,0,0,0,0,17.70166662534078,0.10000000149011612,3
2015,12,0,0,0,0,0,0,0,0,0,0,14.111904757363456,0.0,3
2015,1,0,0,0,0,0,0,0,0,0,0,11.046774195086572,19.100000001490116,4
2015,2,0,0,0,0,0,0,0,0,0,0,15.239285698958806,14.400000005960464,4
2015,3,0,0,0,0,0,0,0,0,0,0,19.103225846444406,157.40000076591969,4
2015,4,0,0,0,0,0,0,0,0,0,0,24.25166672070821,105.30000019073486,4
2015,5,0,0,0,0,0,0,0,0,0,0,26.17419353608162,3.3000000044703484,4
2015,6,0,0,0,0,0,0,0,0,0,0,30.68166659673055,76.70000002533197,4
2015,7,0,0,0,0,0,0,0,0,0,0,29.366666666666667,238.00000105053186,4
2015,8,0,0,0,0,0,0,0,0,0,0,30.75483872813563,123.60000019520521,4
2015,9,0,0,0,0,0,0,0,0,0,0,29.524999968210857,82.0,4
2015,10,0,0,0,0,0,0,0,0,0,0,24.269354743342245,5.200000002980232,4
2015,11,0,0,0,0,0,0,0,0,0,0,17.70166662534078,0.10000000149011612,4
2015,12,0,0,0,0,0,0,0,0,0,0,14.111904757363456,0.0,4
2015,1,0,0,0,0,0,0,0,0,0,0,11.046774195086572,19.100000001490116,5
2015,2,0,0,0,0,0,0,0,0,0,0,15.239285698958806,14.400000005960464,5
2015,3,0,0,0,0,0,0,0,0,0,0,19.103225846444406,157.40000076591969,5
2015,4,0,0,0,0,0,0,0,0,0,0,24.25166672070821,105.30000019073486,5
2015,5,0,0,0,0,0,0,0,0,0,0,26.17419353608162,3.3000000044703484,5
2015,6,0,0,0,0,0,0,0,0,0,0,30.68166659673055,76.70000002533197,5
2015,7,0,0,0,0,0,0,0,0,0,0,29.366666666666667,238.00000105053186,5
2015,8,0,0,0,0,0,0,0,0,0,0,30.75483872813563,123.60000019520521,5
2015,9,0,0,0,0,0,0,0,0,0,0,29.524999968210857,82.0,5
2015,10,0,0,0,0,0,0,0,0,0,0,24.269354743342245,5.200000002980232,5
2015,11,0,0,0,0,0,0,0,0,0,0,17.70166662534078,0.10000000149011612,5
2015,12,0,0,0,0,0,0,0,0,0,0,14.111904757363456,0.0,5
2015,1,0,0,0,0,0,0,0,0,0,0,11.046774195086572,19.100000001490116,6
2015,2,0,0,0,0,0,0,0,0,0,0,15.239285698958806,14.400000005960464,6
2015,3,0,0,0,0,0,0,0,0,0,0,19.103225846444406,157.40000076591969,6
2015,4,0,0,0,0,0,0,0,0,0,0,24.25166672070821,105.30000019073486,6
2015,5,0,0,0,0,0,0,0,0,0,0,26.17419353608162,3.3000000044703484,6
2015,6,0,0,0,0,0,0,0,0,0,0,30.68166659673055,76.70000002533197,6
2015,7,0,0,0,0,0,0,0,0,0,0,29.366666666666667,238.00000105053186,6
2015,8,0,0,0,0,0,0,0,0,0,0,30.75483872813563,123.60000019520521,6
2015,9,0,0,0,0,0,0,0,0,0,0,29.524999968210857,82.0,6
2015,10,0,0,0,0,0,0,0,0,0,0,24.269354743342245,5.200000002980232,6
2015,11,0,0,0,0,0,0,0,0,0,0,17.70166662534078,0.10000000149011612,6
2015,12,0,0,0,0,0,0,0,0,0,0,14.111904757363456,0.0,6
2015,1,0,0,0,0,0,0,0,0,0,0,11.046774195086572,19.100000001490116,7
2015,2,0,0,0,0,0,0,0,0,0,0,15.239285698958806,14.400000005960464,7
2015,3,0,0,0,0,0,0,0,0,0,0,19.103225846444406,157.40000076591969,7
2015,4,0,0,0,0,0,0,0,0,0,0,24.25166672070821,105.30000019073486,7
2015,5,0,0,0,0,0,0,0,0,0,0,26.17419353608162,3.3000000044703484,7
2015,6,0,0,0,0,0,0,0,0,0,0,30.68166659673055,76.70000002533197,7
2015,7,0,0,0,0,0,0,0,0,0,0,29.366666666666667,238.00000105053186,7
2015,8,0,0,0,0,0,0,0,0,0,0,30.75483872813563,123.60000019520521,7
2015,9,0,0,0,0,0,0,0,0,0,0,29.524999968210857,82.0,7
2015,10,0,0,0,0,0,0,0,0,0,0,24.269354743342245,5.200000002980232,7
2015,11,0,0,0,0,0,0,0,0,0,0,17.70166662534078,0.10000000149011612,7
2015,12,0,0,0,0,0,0,0,0,0,0,14.111904757363456,0.0,7
