date,cases(t+14),confirmed,calls(t),complaint(t),Awareness,Larviciding,Fogging,irs,Ovi_Trap,Dewatering,Tyres,water_leakage,Debris,FishSeed,Adult_Mosquitoes,irs_patient,cluster
06/01/2013,0,0,0,0,154,166,8,103,5,256,58,0,0,27,0,0,1
06/02/2013,0,0,0,0,118,110,7,83,5,191,44,0,0,24,0,0,1
06/03/2013,0,0,0,0,71,73,2,68,4,131,52,0,0,13,0,0,1
06/04/2013,0,0,0,0,63,62,0,52,4,90,76,0,0,8,0,0,1
06/05/2013,0,0,0,0,65,61,0,52,4,87,75,0,0,9,0,0,1
06/06/2013,0,0,0,0,29,45,0,33,2,31,67,0,0,7,0,0,1
06/07/2013,0,0,0,0,6,29,0,1,0,11,66,0,0,1,0,0,1
06/08/2013,0,0,0,0,9,40,0,1,0,17,67,0,0,1,0,0,1
06/09/2013,0,0,0,0,9,40,0,1,0,17,67,0,0,1,0,0,1
06/10/2013,0,0,0,0,10,33,0,1,0,17,46,0,0,1,0,0,1
06/11/2013,0,0,0,0,8,41,0,1,0,18,20,0,0,1,0,0,1
06/12/2013,0,0,0,0,5,33,0,0,0,21,18,0,0,2,0,0,1
06/13/2013,0,0,0,0,5,30,0,0,0,33,30,0,0,2,0,0,1
06/14/2013,0,0,0,0,7,26,0,0,0,38,29,0,0,2,0,0,1
06/15/2013,0,0,0,0,6,16,0,0,0,39,28,0,0,2,0,0,1
06/16/2013,0,0,0,0,6,26,0,1,0,59,31,0,0,2,0,0,1
06/17/2013,0,0,0,0,6,33,0,8,0,82,33,0,0,5,0,0,1
06/18/2013,0,0,0,0,6,44,0,8,1,97,36,0,0,5,0,0,1
06/19/2013,0,0,0,0,11,59,0,14,1,101,38,0,0,7,0,0,1
06/20/2013,0,0,0,0,15,70,0,14,3,92,35,0,0,8,0,0,1
06/21/2013,0,0,0,0,14,79,0,16,3,83,30,0,0,8,0,0,1
06/22/2013,0,0,0,0,14,83,0,20,3,79,31,0,0,8,0,0,1
06/23/2013,0,0,0,0,14,74,0,20,3,59,30,0,0,8,0,0,1
06/24/2013,0,0,0,0,14,72,0,29,4,44,31,0,0,8,0,0,1
06/25/2013,0,1,0,0,13,58,1,32,3,28,27,0,0,10,0,0,1
06/26/2013,0,1,0,0,8,48,1,27,5,25,25,0,0,6,0,0,1
06/27/2013,0,0,0,0,4,53,1,31,3,22,10,0,0,5,0,0,1
06/28/2013,0,0,0,0,5,59,1,31,3,25,28,0,0,5,0,0,1
06/29/2013,0,1,0,0,8,58,1,32,3,22,33,0,0,5,0,0,1
06/30/2013,0,0,0,0,8,58,1,33,3,29,32,0,0,5,0,0,1
07/01/2013,0,0,0,0,12,55,1,17,2,22,43,0,0,2,0,0,1
07/02/2013,0,0,0,0,20,53,0,16,2,25,50,0,0,0,0,0,1
07/03/2013,0,0,0,0,22,47,0,15,2,27,79,0,0,0,0,0,1
07/04/2013,0,0,0,0,23,31,0,12,2,26,99,0,0,0,0,0,1
07/05/2013,0,0,0,0,21,16,0,11,3,24,92,0,0,0,0,0,1
07/06/2013,0,0,0,0,16,16,0,7,3,30,87,0,0,0,0,0,1
07/07/2013,0,0,0,0,16,21,0,5,3,26,86,0,0,0,0,0,1
07/08/2013,0,0,0,0,11,30,0,9,3,48,75,0,0,0,0,0,1
07/09/2013,0,0,0,0,8,34,0,8,4,44,81,0,0,0,0,0,1
07/10/2013,0,0,0,0,14,54,0,14,4,46,66,0,0,0,0,0,1
07/11/2013,0,0,0,0,18,58,0,15,4,62,51,0,0,0,0,0,1
07/12/2013,0,0,0,0,19,58,0,14,3,60,38,0,0,0,0,0,1
07/13/2013,0,0,0,0,19,60,0,14,3,57,38,0,0,0,0,0,1
07/14/2013,0,0,0,0,22,57,0,17,3,56,38,0,0,0,0,0,1
07/15/2013,0,0,0,0,23,52,0,14,3,35,36,0,0,0,0,0,1
07/16/2013,0,0,0,0,20,54,0,20,2,37,25,0,0,0,0,0,1
07/17/2013,0,0,0,0,13,47,0,15,0,32,10,0,0,0,0,0,1
07/18/2013,0,0,0,0,8,57,0,15,0,19,5,0,0,0,0,0,1
07/19/2013,0,0,0,0,9,66,0,16,0,20,6,0,0,0,0,0,1
07/20/2013,0,0,0,0,9,71,0,18,0,27,7,0,0,0,0,0,1
07/21/2013,0,0,0,0,7,88,0,23,0,29,9,0,0,0,0,0,1
07/22/2013,0,0,0,0,7,99,0,22,0,29,9,0,0,0,0,0,1
07/23/2013,0,0,0,0,6,99,0,17,0,31,8,0,0,0,0,0,1
07/24/2013,0,0,0,0,7,117,0,16,2,27,15,0,0,0,0,0,1
07/25/2013,0,0,0,0,12,118,0,16,2,26,100,0,0,0,0,0,1
07/26/2013,0,0,0,0,11,133,0,18,3,29,102,0,0,0,0,0,1
07/27/2013,0,0,0,0,80,142,0,16,4,23,117,0,0,0,0,0,1
07/28/2013,0,0,0,0,82,134,0,12,4,22,122,0,0,0,0,0,1
07/29/2013,0,0,0,0,83,127,0,14,4,21,123,0,0,0,0,0,1
07/30/2013,0,0,0,0,88,140,0,13,4,22,143,0,0,2,0,0,1
07/31/2013,0,0,0,0,92,126,0,15,2,22,153,0,0,2,0,0,1
