date,confirmed,Awareness,Larviciding,Fogging,irs,Ovi_Trap,Dewatering,Tyres,Debris,FishSeed,Max_Temp,Min_Temp,Max_Humidity,Min_Humidity,Rainfall,cluster
2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015-01-02,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,1
2015-01-03,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1
2015-01-04,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,1
2015-01-05,0,5,0,0,0,0,0,0,17,0,0,0,0,0,0,1
2015-01-06,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1
2015-01-07,0,2,0,0,0,0,0,0,22,0,0,0,0,0,0,1
2015-01-08,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1
2015-01-09,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1
2015-01-10,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1
2015-01-11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015-01-12,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1
2015-01-13,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1
2015-01-14,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1
2015-01-15,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1
2015-01-16,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1
2015-01-17,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1
2015-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015-01-19,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1
2015-01-20,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1
2015-01-21,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1
2015-01-22,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1
2015-01-23,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1
2015-01-24,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1
2015-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015-01-26,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1
2015-01-27,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1
2015-01-28,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1
2015-01-29,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1
2015-01-30,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1
2015-01-31,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
2015-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015-02-02,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1
2015-02-03,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,1
2015-02-04,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,1
2015-02-05,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,1
