date,cases(t+14),confirmed(t),calls(t),complaint(t),Awareness,Larviciding,Fogging,irs,Ovi_Trap,Dewatering,Tyres,water_leakage,FishSeed,Adult_Mosquitoes,irs_patient,town
9/10/2011,21,0,34,0,0,0,0,0,0,0,0,0,0,0,0,1
9/11/2011,22,0,76,11,0,0,0,0,0,0,0,0,0,0,0,1
9/12/2011,24,0,72,20,0,0,0,0,0,0,0,0,0,0,0,1
9/13/2011,15,0,59,23,0,0,0,0,0,0,0,0,0,0,0,1
9/14/2011,19,0,76,27,0,0,0,0,0,0,0,0,0,0,0,1
9/15/2011,22,0,95,26,0,0,0,0,0,0,0,0,0,0,0,1
9/16/2011,46,0,118,33,0,0,0,0,0,0,0,0,0,0,0,1
9/17/2011,106,0,92,31,0,0,0,0,0,0,0,0,0,0,0,1
9/18/2011,140,0,67,12,0,0,0,0,0,0,0,0,0,0,0,1
9/19/2011,165,0,85,26,0,0,0,0,0,0,0,0,0,0,0,1
9/20/2011,194,0,84,12,0,0,0,0,0,0,0,0,0,0,0,1
9/21/2011,207,0,29,34,0,0,0,0,0,0,0,0,0,0,0,1
9/22/2011,194,0,85,48,0,0,0,0,0,0,0,0,0,0,0,1
9/23/2011,197,0,73,29,0,0,0,0,0,0,0,0,0,0,0,1
9/24/2011,209,0,62,35,0,0,0,0,0,0,0,0,0,0,0,1
9/25/2011,197,0,83,28,0,0,0,0,0,0,0,0,0,0,0,1
9/26/2011,194,0,78,35,0,0,0,0,0,0,0,0,0,0,0,1
9/27/2011,172,0,64,24,0,0,0,0,0,0,0,0,0,0,0,1
9/28/2011,161,0,68,25,0,0,0,0,0,0,0,0,0,0,0,1
9/29/2011,162,0,74,25,0,0,0,0,0,0,0,0,0,0,0,1
9/30/2011,165,0,67,13,0,0,0,0,0,0,0,0,0,0,0,1
10/1/2011,151,0,59,9,0,0,0,0,0,0,0,0,0,0,0,1
10/2/2011,149,0,57,8,0,0,0,0,0,0,0,0,0,0,0,1
10/3/2011,142,0,73,15,0,0,0,0,0,0,0,0,0,0,0,1
10/4/2011,118,0,65,11,0,0,0,0,0,0,0,0,0,0,0,1
10/5/2011,111,0,67,8,0,0,0,0,0,0,0,0,0,0,0,1
10/6/2011,122,0,69,7,0,0,0,0,0,0,0,0,0,0,0,1
10/7/2011,122,0,11,10,0,0,0,0,0,0,0,0,0,0,0,1
10/8/2011,122,0,3,7,0,0,0,0,0,0,0,0,0,0,0,1
10/9/2011,116,0,28,2,0,0,0,0,0,0,0,0,0,0,0,1
10/10/2011,117,0,44,6,0,0,0,0,0,0,0,0,0,0,0,1
10/11/2011,109,0,32,4,0,0,0,0,0,0,0,0,0,0,0,1
10/12/2011,118,0,42,6,0,0,0,0,0,0,0,0,0,0,0,1
10/13/2011,116,0,9,5,0,0,0,0,0,0,0,0,0,0,0,1
10/14/2011,118,0,8,7,0,0,0,0,0,0,0,0,0,0,0,1
10/15/2011,115,0,5,3,0,0,0,0,0,0,0,0,0,0,0,1
10/16/2011,102,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1
10/17/2011,83,0,3,8,0,0,0,0,0,0,0,0,0,0,0,1
10/18/2011,70,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1
10/19/2011,60,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1
