year,month,patients,Awareness,Larviciding,Fogging,Ovi_Trap,Dewatering,Tyres,Debris,FishSeed,irs,temp,rainfall,block
2012,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
2012,2,0,0,0,0,0,0,0,0,0,0,12.7,18.6,1
2012,3,0,0,0,0,0,0,0,0,0,0,14.286,6.8,1
2012,4,0,0,0,0,0,0,0,0,0,0,20.885,10.0,1
2012,5,0,0,0,0,0,0,0,0,0,0,26.67,49.9,1
2012,6,0,0,0,0,0,0,0,0,0,0,32.332,0.2,1
2012,7,0,0,0,0,0,0,0,0,0,0,35.265,13.2,1
2012,8,0,0,0,0,0,0,0,0,0,0,33.056,37.7,1
2012,9,0,0,0,0,0,0,0,0,0,0,30.239,197.1,1
2012,10,0,0,0,0,0,0,0,0,0,0,28.992,199.4,1
2012,11,0,0,0,0,0,0,0,0,0,0,24.835,28.8,1
2012,12,0,0,0,0,0,0,0,0,0,0,19.7,0.2,1
2012,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2
2012,2,0,0,0,0,0,0,0,0,0,0,12.7,18.6,2
2012,3,0,0,0,0,0,0,0,0,0,0,14.286,6.8,2
2012,4,0,0,0,0,0,0,0,0,0,0,20.885,10.0,2
2012,5,0,0,0,0,0,0,0,0,0,0,26.67,49.9,2
2012,6,0,0,0,0,0,0,0,0,0,0,32.332,0.2,2
2012,7,0,0,0,0,0,0,0,0,0,0,35.265,13.2,2
2012,8,0,0,0,0,0,0,0,0,0,0,33.056,37.7,2
2012,9,0,0,0,0,0,0,0,0,0,0,30.239,197.1,2
2012,10,0,0,0,0,0,0,0,0,0,0,28.992,199.4,2
2012,11,0,0,0,0,0,0,0,0,0,0,24.835,28.8,2
2012,12,0,0,0,0,0,0,0,0,0,0,19.7,0.2,2
2012,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3
2012,2,0,0,0,0,0,0,0,0,0,0,12.7,18.6,3
2012,3,0,0,0,0,0,0,0,0,0,0,14.286,6.8,3
2012,4,0,0,0,0,0,0,0,0,0,0,20.885,10.0,3
2012,5,0,0,0,0,0,0,0,0,0,0,26.67,49.9,3
2012,6,0,0,0,0,0,0,0,0,0,0,32.332,0.2,3
2012,7,0,0,0,0,0,0,0,0,0,0,35.265,13.2,3
2012,8,0,0,0,0,0,0,0,0,0,0,33.056,37.7,3
2012,9,0,0,0,0,0,0,0,0,0,0,30.239,197.1,3
2012,10,0,0,0,0,0,0,0,0,0,0,28.992,199.4,3
2012,11,0,0,0,0,0,0,0,0,0,0,24.835,28.8,3
2012,12,0,0,0,0,0,0,0,0,0,0,19.7,0.2,3
2012,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4
2012,2,0,0,0,0,0,0,0,0,0,0,12.7,18.6,4
2012,3,0,0,0,0,0,0,0,0,0,0,14.286,6.8,4
2012,4,0,0,0,0,0,0,0,0,0,0,20.885,10.0,4
2012,5,0,0,0,0,0,0,0,0,0,0,26.67,49.9,4
2012,6,0,0,0,0,0,0,0,0,0,0,32.332,0.2,4
2012,7,0,0,0,0,0,0,0,0,0,0,35.265,13.2,4
2012,8,0,0,0,0,0,0,0,0,0,0,33.056,37.7,4
2012,9,0,0,0,0,0,0,0,0,0,0,30.239,197.1,4
2012,10,0,0,0,0,0,0,0,0,0,0,28.992,199.4,4
2012,11,0,0,0,0,0,0,0,0,0,0,24.835,28.8,4
